name,ic,ic_std,split1_ic,split2_ic,split3_ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
learning_rate_0.03,0.13082494194900737,0.05779194395545848,0.05759839621737278,0.1360014858280821,0.19887494380156726,1.370032548904419,400,5,0.03,0.8,0.8,10,1.0
subsample_0.75,0.1285092052949773,0.041071454714264106,0.07880680239759627,0.12733061711354257,0.1793901963737931,0.9023005962371826,400,5,0.05,0.75,0.8,10,1.0
learning_rate_0.005,0.12825856455700024,0.05657055837374215,0.05759839621737278,0.13109714876548434,0.1960801486881436,1.9613840579986572,400,5,0.005,0.8,0.8,10,1.0
colsample_bytree_0.65,0.12595280572150902,0.04168161127362284,0.07762419899141068,0.12088879394192961,0.17934542423118677,0.9537992477416992,400,5,0.05,0.8,0.65,10,1.0
colsample_bytree_0.7,0.12595280572150902,0.04168161127362284,0.07762419899141068,0.12088879394192961,0.17934542423118677,0.9859654903411865,400,5,0.05,0.8,0.7,10,1.0
learning_rate_0.02,0.1256675242504192,0.0538232822082856,0.05759839621737278,0.130200157514453,0.18920401901943182,0.920302152633667,400,5,0.02,0.8,0.8,10,1.0
learning_rate_0.01,0.12545360273020442,0.055785365137344986,0.05759839621737278,0.12452774622885603,0.19423466574438442,1.2083773612976074,400,5,0.01,0.8,0.8,10,1.0
learning_rate_0.04,0.12502586324780773,0.05240601024143175,0.05759839621737278,0.1320986999775887,0.1853804935484617,0.7036142349243164,400,5,0.04,0.8,0.8,10,1.0
min_child_weight_25,0.1238736819982289,0.053043116195289945,0.057035707204852196,0.12779907504460963,0.18678626374522492,0.8118481636047363,400,5,0.05,0.8,0.8,25,1.0
reg_lambda_1.5,0.12368928832928605,0.04981206740080331,0.05759839621737278,0.13561937095001292,0.17785009782047245,0.8248376846313477,400,5,0.05,0.8,0.8,10,1.5
subsample_0.7,0.12365226039818326,0.04628156538467742,0.0693236109512629,0.11920530029107246,0.1824278699522144,0.9351656436920166,400,5,0.05,0.7,0.8,10,1.0
min_child_weight_30,0.1234189550025484,0.05271505724585183,0.058044558799636395,0.1250746025227224,0.18713770368528646,0.7620716094970703,400,5,0.05,0.8,0.8,30,1.0
